"Run" "Item" "FourPicsOnset" "CueOnset" "Cue" "ToBeIgnored" "ProbePicOnset" "Probe" "Jitter" "Response" "RT" "Accuracy" "sim"
8 1 10 14 "Scenes" "Faces" 24 "Mismatch" 4500 2 1578 1 0.029126213592233
8 2 31 35 "Faces" "Bodies" 45 "Mismatch" 2500 2 864 1 0.00980392156862745
8 3 50 54 "Scenes" "Objects" 64 "Mismatch" 1500 2 2110 1 0.0594059405940594
8 4 68 72 "Scenes" "Objects" 82 "Match" 2500 2 2277 0 0.0594059405940594
8 5 87 91 "Objects" "Scenes" 101 "Match" 2000 1 1569 1 0.0594059405940594
8 6 105.5 109.5 "Objects" "Bodies" 119.5 "Mismatch" 5000 2 2683 1 0.07
8 7 127 131 "Objects" "Scenes" 141 "Mismatch" 2000 1 1212 0 0.0594059405940594
8 8 145.5 149.5 "Bodies" "Scenes" 159.5 "Mismatch" 3000 2 2334 1 0
8 9 165 169 "Faces" "Scenes" 179 "Match" 3000 1 887 1 0.029126213592233
8 10 184.5 188.5 "Faces" "Scenes" 198.5 "Mismatch" 4500 2 1041 1 0.029126213592233
8 11 205.5 209.5 "Objects" "Faces" 219.5 "Mismatch" 2500 2 2343 1 0.04
8 12 224.5 228.5 "Bodies" "Objects" 238.5 "Match" 5000 1 932 1 0.07
8 13 246 250 "Bodies" "Faces" 260 "Match" 4000 1 846 1 0.00980392156862745
8 14 266.5 270.5 "Bodies" "Faces" 280.5 "Mismatch" 1500 1 1087 0 0.00980392156862745
8 15 284.5 288.5 "Faces" "Objects" 298.5 "Mismatch" 4000 2 1534 1 0.04
8 16 305 309 "Faces" "Bodies" 319 "Match" 3500 1 1000 1 0.00980392156862745
8 17 325 329 "Scenes" "Faces" 339 "Match" 5000 1 2580 1 0.029126213592233
8 18 346.5 350.5 "Bodies" "Objects" 360.5 "Mismatch" 2000 2 2446 1 0.07
8 19 365 369 "Bodies" "Scenes" 379 "Match" 3500 1 1350 1 0
8 20 385 389 "Objects" "Bodies" 399 "Match" 3500 1 1045 1 0.07
8 21 405 409 "Faces" "Objects" 419 "Match" 1500 1 948 1 0.04
8 22 423 427 "Scenes" "Bodies" 437 "Match" 3000 1 1169 1 0
8 23 442.5 446.5 "Objects" "Faces" 456.5 "Match" 4500 1 851 1 0.04
8 24 463.5 467.5 "Scenes" "Bodies" 477.5 "Mismatch" 4000 2 1296 1 0
